District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Female_ST,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,143504,124080,97823,9443,188483,996562,30479,1284,572,114,6829,56,117971,147381,110385,58213,30724,27076,5251,497001,577092,1074093,649290,244401,142251,404
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,70209,243491,237280,26119,335437,1870543,143476,1345,1540,141,18974,52,293818,359329,271312,144581,71472,67021,9403,1216936,983050,2199986,1207983,467436,343384,18770
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,31074,298856,145523,35602,573741,2201663,314159,10605,6799,417,45614,184,379043,394576,313680,200191,130608,172683,28138,1618919,1034334,2653253,1561077,629951,388040,3984
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,85530,326083,113426,16004,193648,1243527,153146,754,378,122,22458,30,237191,190750,154825,91853,64431,67155,9919,816124,661902,1478026,880194,334006,205593,1533
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,109095,250453,111388,11172,153078,1017688,66609,682,11059,144,13455,24,153500,159218,121104,63248,41227,41052,6460,585809,553622,1139431,686771,267648,155958,529
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,112247,555168,163052,30149,399796,2224839,142427,1978,1468,183,35149,60,398993,338296,258990,141250,92785,106667,10928,1347909,1180456,2528365,1439454,589476,365023,14570
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,79636,207582,106587,13505,223157,1105676,33677,759,260,100,14966,68,190090,190388,140839,72969,41063,34286,4732,674367,544517,1218884,687165,275099,193668,665
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,491806,227849,184330,12514,216822,1340065,28662,830,240,226,16141,853,238847,175059,114245,60656,42887,39312,4834,675840,764563,1440403,868458,317700,191917,10477
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,682523,546569,199370,19818,150817,1701234,48834,22250,427,138,22613,109,240067,190259,137780,75011,50438,47094,8145,748794,1040914,1789708,1153029,406214,216554,21688
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,99653,453201,123469,15435,210650,1413163,97855,1274,1515,252,25843,136,245603,225700,170455,90889,58129,67155,10768,868699,715545,1584244,880043,398303,258997,6995
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,87388,140262,134992,25125,448432,1661307,243993,5665,11058,280,25742,286,286676,294591,250092,172538,118710,167778,27485,1317870,588142,1906012,1177474,495896,275396,2248
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,133763,216538,185037,15258,135750,1133349,79984,1432,3066,84,2795,48,203489,194024,144190,76209,46847,49939,8057,722755,545842,1268597,762204,286344,173100,1107
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,88044,328714,209772,11199,136265,1299751,96164,842,819,46,12488,42,226614,203488,143108,73388,46267,47985,6972,747822,696680,1444502,850546,346110,213674,799
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,752076,539106,302968,33535,490174,2869976,104307,7406,4278,209,78647,373,442946,386075,277392,164290,102085,142672,20010,1535470,1528671,3064141,1876436,739287,451034,1663
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,273685,306419,96815,5516,72544,827293,25597,358,72,32,14077,27,142397,111276,70969,35206,21854,19109,2137,402948,488621,891569,545987,204801,115608,1452
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,463,221567,273050,34032,508695,1966892,1454052,6523,18627,1937,10208,135,474060,600668,431491,256510,163463,154153,10083,2090428,1279517,3369945,2228689,769736,433862,34095
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,141,336049,323641,45952,586002,2382914,1711453,6495,18601,1516,16345,60,826387,780470,531913,281747,148770,98691,5608,2673586,1431537,4105123,2671757,911621,544283,15851
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,1470,232158,311489,52549,491840,2032081,1585210,6184,50624,1736,2134,41,498971,827447,549594,255028,159528,148185,14658,2453411,1308683,3762094,2404576,786305,450186,41646
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,308,368638,338384,88733,622056,2488265,2248392,13157,7555,1260,2426,382,635957,725118,492338,296210,186311,186489,23372,2545795,2097292,4643087,3168270,988486,525574,89676
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,630408,413258,151,214187,230238,54238,238598,1073890,1181337,9201,65316,384,1307,63,278477,374898,171242,85117,51703,43839,3169,1008445,1235413,2243858,1576123,491164,258913,9619
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,600541,382569,75,217672,131877,31600,217940,1075440,750368,5952,5295,189,517,21,251669,352835,230640,161282,164763,69522,3021,1233732,520215,1753947,1227283,391275,215849,5814
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1254520,886968,1562,196068,153995,63096,677380,2183255,1185643,10582,24912,1855,18544,236,412280,495861,469403,359944,254337,275076,36096,2302997,990312,3293309,2165117,780475,451827,46270
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,489858,308112,4,124718,74500,20347,197130,917474,364583,1840,483,161,16139,25,139646,272939,215070,132197,79475,44164,3730,887221,376700,1263921,817140,283276,194548,8084
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1811397,1311867,1864,158868,123680,83672,1154318,3414427,1186776,19026,23001,3487,16412,265,534606,858286,797473,597661,475439,255949,26399,3545813,885070,4430883,2891069,1139871,559963,90742
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,666065,456882,1026,72668,48845,35400,412196,1394025,215500,7366,9261,895,4518,91,201277,330623,283031,218587,194796,101645,5058,1335017,342284,1677301,1015648,402967,188862,40638
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1253314,778342,80,332475,241137,65937,533711,2707195,777407,4088,2765,669,1572,86,443641,540754,475146,338138,217882,151182,17796,2184539,1185318,3369857,2246254,753949,472808,26160
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1283380,809187,289,281501,267197,78566,547097,2904140,729283,7635,5875,2582,2805,91,456870,491605,443958,334738,216997,172585,20498,2137251,1352181,3489432,2378289,787408,472667,35525
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,579157,363415,131,124231,154720,32402,172762,1397225,159448,1350,524,424,1289,63,181444,297282,269717,166861,89435,49812,5386,1059937,430814,1490751,1011157,339137,210083,4331
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,943346,564400,694,235886,179248,44453,381352,2310776,216933,3179,2872,883,2056,126,303291,420976,344961,233264,155937,103102,10262,1571793,691359,2263152,1600686,535738,327854,82906
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1614594,1065916,3428,285471,234455,94184,775734,3922718,411313,10076,12057,4049,21508,384,600839,904836,647340,450571,317618,199395,20781,3141380,963202,4104582,2871903,991255,547873,7766
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,912314,609492,1219,184595,150221,59942,366763,2140745,314812,3370,1804,3395,19077,61,324525,416295,368905,277163,166249,108627,11313,1673077,672115,2345192,1621154,543730,312689,20583
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,712110,491775,220,270888,137174,24784,127994,1746649,100723,1729,475,8814,4161,38,234774,353287,319158,230731,144516,111696,12281,1406443,519493,1925936,1193660,402321,265638,6910
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,986501,560976,28,575903,258758,40122,232560,2867707,790515,6320,1135,1959,678,87,556130,585283,295943,154425,86760,64222,7291,1750054,1946345,3696399,2436051,748408,424194,73243
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1342697,849062,1563,365985,326376,131699,577911,2830768,1536534,14822,28187,4371,931,339,717585,641251,442110,272840,172554,146446,16806,2409592,1744527,4154119,2893965,952233,514141,88020
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,822,216476,224192,22782,155155,1449007,489686,3510,84787,360,138,45,294135,281158,240057,117838,77602,66129,9713,1086632,977839,2064471,1320476,449673,256276,4582
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,249,344973,275192,31141,240908,2412595,527581,4630,51090,2312,301,84,451571,476064,315873,158430,96308,87355,8885,1594486,1324615,2919101,1961237,652237,368743,24321
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,26391,529223,422142,47837,265516,3078262,807600,7502,94388,18454,487,226,717340,621684,442748,223669,129627,128548,10846,2274462,1833578,4108040,2582597,896611,510832,31203
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,769,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,714304,656401,482220,221898,136383,127750,8775,2347731,2141696,4489427,2862383,1000987,588318,32304
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,163,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,98,741817,906861,510507,247265,138583,103523,9048,2657604,1481604,4139208,2598364,905306,559988,29187
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1368,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,31,501457,512965,415378,240024,136688,101934,7173,1915619,1130103,3045722,1893706,706851,453462,54348
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,3470,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,4241505,2678289,1161686,685258,64605
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,880,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,602,540661,538301,477689,270775,182823,153041,15662,2178952,1286726,3465678,2116007,776583,506583,6386
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,106,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,100,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1987999,1224584,411153,246795,2672
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,6,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1713786,1069916,361028,223535,2137
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,80,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,94,171216,292852,298700,195192,121283,118571,13400,1211214,397708,1608922,979633,362026,237786,2365
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,59,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,133123,291837,282449,168866,101542,79012,6531,1063360,276224,1339584,856336,320763,202054,392
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,403,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1881584,1100820,415918,276272,3174
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1645,198547,258790,68738,1046157,3792174,720660,15751,29676,2733,5710,589,338620,766906,794860,651228,515772,396565,26827,3490778,676306,4167084,2630411,1209554,731795,9508
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,404,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,145,169207,327534,282919,167911,104699,106888,10399,1169557,461666,1631223,1002817,410090,274954,2113
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,1799,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1770672,1171301,510728,308331,8243
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,34776,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,185575,202692,154118,61543,32237,34658,3535,674358,509536,1183894,793551,265080,159666,3295
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,215,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,660774,260368,181109,2034
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,292,114244,130422,13523,91487,815142,57454,965,389,94,234,157,119002,141201,131165,60400,33810,37165,3926,526669,403649,930318,527067,201394,137393,10104
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,81,251755,273458,19098,157378,1637549,157612,1367,231,168,916,50,325773,415195,249238,114783,61702,63112,5728,1235531,588025,1823556,1120432,408527,265310,5141
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,170,160094,150695,12555,70853,955372,34559,693,63,101,285,27,168472,174106,124256,69641,40266,35826,3660,616227,383908,1000135,638046,214228,136669,2787
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,151,328758,425366,51555,258250,2274674,350700,2201,402,172,199,47,409875,463642,376472,227119,134445,116445,10212,1738210,895178,2633388,1624830,603831,395547,8525
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,343,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,427626,558350,456752,332742,238011,197846,20047,2231374,1059636,3291010,2002569,703727,492097,10748
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,91,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,184229,253910,180825,146757,89011,45341,5115,905188,670750,1575938,1034099,336401,210556,18540
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,3685,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,823863,934881,738076,596615,502826,428871,36764,4061896,1756098,5817994,3764404,1335224,818137,36626
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,277,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,211,533140,420824,350564,197780,132332,113799,12281,1760720,1540841,3301561,2043335,709494,445269,62601
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,462,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,185,356093,361114,347114,231129,176303,179996,18947,1670696,981915,2652611,1534832,543148,367332,25684
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,340,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,342667,392873,353570,247028,172872,194387,15458,1718855,813502,2532357,1499494,515229,367234,15931
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,338,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,460210,637015,526973,306046,188848,176414,15277,2310783,1118891,3429674,2376875,828222,580164,11856
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,5553,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,447648,493760,215939,104762,65106,47690,7028,1381933,1920966,3302899,2275746,754346,446242,11397
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,2645,163449,165118,18494,56694,768643,343981,1427,407,323,68,56,155698,97160,56242,29567,19744,15648,1535,375594,701550,1077144,723443,245098,143979,4841
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,12230,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,379253,227932,122911,65516,40633,37109,2777,876131,1332817,2208948,1415213,442339,283947,7166
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,394,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,57,678171,425584,305644,192664,144067,118176,8722,1873028,1620782,3493810,2223078,734903,464584,11354
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,5934,298360,395993,35756,148789,1789704,748073,3042,681,11964,179,356,676987,335977,204260,110056,73465,56516,10526,1467787,1217027,2684814,1690396,504002,359977,4922
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,1744,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,99,470355,349221,324085,211477,162961,143642,13030,1674771,1021192,2695963,1574037,519265,363891,7271
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,770,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,35,341757,290532,205875,129442,86528,63506,8882,1126522,683053,1809575,1108368,352395,250502,3918
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,8074,229847,532486,43015,188905,2196884,458650,3527,1381,16030,243,338,456350,388464,308064,185236,129222,95863,11219,1574418,1252595,2827013,1694493,595114,370573,24523
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,8911,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,207,873031,618398,560246,425913,316166,273903,36253,3103910,1453960,4557870,2755630,992114,659677,33474
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,39266,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,3731239,2236842,772777,500373,54552
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,55678,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,146,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,3522433,1946336,664708,481219,8683
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,4637,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,831966,1344726,879745,489060,312571,158303,8087,4024458,1218146,5242604,2930243,965876,699954,17840
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,11451,145225,212343,118614,220565,1769937,428555,2109,340,564,155,129,344570,410737,320743,256784,209493,150462,15771,1708560,659237,2367797,1402738,467343,323260,12627
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,53297,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,436021,515010,443440,409484,323582,200434,20283,2348254,1032533,3380787,1975934,724362,502628,36850
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,2373,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,114,665376,939616,769693,520111,353996,256398,25909,3531099,1344789,4875888,2826453,927026,689979,50746
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,14048,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,184,566504,691057,563310,449909,334003,186306,12795,2803884,1008996,3812880,2234593,774130,556273,55272
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,20154,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,1175,295979,367768,276638,196240,135962,88299,7586,1368472,543247,1911719,1222695,437000,287767,5294
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,13625,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,467782,608174,557052,447926,351391,281652,34841,2748818,906367,3655185,2260457,856070,531549,28765
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,887,94402,104419,62665,209122,1368291,203887,1365,199,1562,161,7,257527,291926,232072,167524,120944,86533,10304,1166830,552958,1719788,1032294,331743,209920,4256
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,9652,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,27,361642,421577,340261,232189,177109,140668,17680,1691126,868542,2559668,1590528,552177,346773,7492
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,187193,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,306218,297226,212565,120822,82614,63846,9357,1092648,745126,1837774,1203938,418914,237866,1841
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,53,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,18,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1767202,1149372,383707,237427,3974
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,70,229088,107094,22492,114091,1211427,213822,1969,2280,3907,313,72,256688,193410,150247,108558,61662,48079,4981,823625,648166,1471791,946320,301252,183434,5713
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,122366,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,3893566,2544205,888205,497793,4839
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,6007,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,5293345,3316422,1122340,648009,12600
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,141,38727,136334,9119,32192,552492,99342,522,216,73,52,44,128209,91277,37063,25657,16031,10091,661,308989,348078,657067,421241,139909,93398,1698
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1404,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656,2206340,739982,449035,28217
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1934,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068,2860455,1009424,611899,5601
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,4926,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331,1453438,495020,277610,3008
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,18961,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606,1872943,612012,324091,2523
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,31718,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516,1139615,361114,188447,1224
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,68099,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,3285643,2155512,696556,372692,39859
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,87781,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989,2054202,660403,353483,2941
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,6090,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788,1311771,444235,242382,3374
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,2908,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,348300,194897,104182,90182,64560,47051,6016,855188,1151349,2006537,1249692,415863,233870,1236
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,1411,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743,2535344,865971,529314,6756
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,2855,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,4828232,3016735,1079189,697108,8030
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,30974,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,540603,470828,291624,223776,123249,79109,7690,1736879,977719,2714598,1642807,546202,370662,2341
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,43528,264928,376344,31244,259900,2712635,608282,2618,369,407,359,86,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,3628240,2115448,713597,498299,3120
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,18464,232097,493461,42103,272570,3534772,406449,2330,371,229,322,107,793945,693465,433759,361171,213251,148065,9848,2653504,1313700,3967204,2516115,847031,585386,3330
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,1042,255017,502637,36958,265732,3152346,333980,2203,707,362,246,71,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,3750438,2176701,759132,486032,73156
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,909,299039,721629,47917,274815,3800598,452370,2126,554,292,231,112,781038,710468,438908,284082,186153,129933,19126,2549708,1996651,4546359,2766930,913339,568812,12485
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,749,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,3064885,1951688,644874,369996,3983
223,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,323,104517,325731,20816,109741,1486989,175588,1253,143,79,86,115,350601,233494,130004,100555,65931,38697,5969,925251,903323,1828574,1114645,355531,195796,914
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,31635,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,3116132,1952879,674660,397654,12573
225,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,44531,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,408188,386707,196305,120653,63103,35767,3922,1214645,879831,2094476,1291235,462080,278863,2585
226,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,10409,45953,196449,16690,167566,1252319,110416,1815,338,95,145,61,226699,158699,146414,147152,101907,64469,4394,849734,498676,1348410,860147,316713,188319,2586
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,4086,78532,159970,13546,74528,956396,40886,487,140,52,78,52,172076,149312,111684,85807,48001,27261,3814,597955,450967,1048922,650642,218840,130655,775
228,BIHAR,Sheikhpura,636342,329743,306599,328676,196431,132245,312,54511,109696,9917,50531,596102,37653,313,75,41,43,31,129673,110525,59529,52860,33856,19676,3399,409518,305609,715127,413475,136898,85045,924
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,714,221240,534021,52585,237574,2669775,198033,1978,393,414,561,64,581978,486266,320839,274556,177358,133032,11159,1985188,1324385,3309573,1829128,642197,403129,3199
230,BIHAR,Patna,5838465,3078512,2759953,3459679,2028047,1431632,4352,271216,658203,85349,867118,5356075,439952,12551,4803,1062,2151,203,1244842,1095655,920051,698351,463361,452340,46126,4920726,2590473,7511199,3626564,1382654,815638,13609
231,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,6614,190896,364875,47985,218737,2518216,197819,2165,544,647,1472,48,581580,605307,367059,313509,163303,131137,10630,2172525,1005140,3177665,1722387,613072,387389,5559
232,BIHAR,Buxar,1706352,887977,818375,989807,593544,396263,12722,132472,251790,26122,127938,1591454,105423,2125,248,5090,97,57,331675,420187,256124,178044,89306,64117,5224,1344677,457814,1802491,1074754,375372,253998,2228
