District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Female_ST,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,6442,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,100052,159043,132147,180188,128549,54139,9350,763468,218570,982038,524285,279321,194661,1510
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,1513,147103,8824,3347,82657,449412,3711,243,591,95,293,9,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,224044,123941,106641,142
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,4156,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,51838,87913,81256,105204,60626,32120,5511,424468,87735,512203,273223,142351,105358,241
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,5208,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,193671,107367,80497,421
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,12294,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,50331,89407,83992,95232,59363,36803,8280,423408,104084,527492,321533,167168,90808,811
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,5350,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,57853,100123,78103,67080,38282,23352,4048,368841,140486,509327,310244,136839,82471,301
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,4201,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,69967,113536,113305,141490,95341,80414,9748,623801,137576,761377,425721,241956,145577,756
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,25137,32995,2537,944,19797,64732,448,485,249,18086,29,45,9400,13749,11437,11140,7871,5118,713,59428,16944,76372,42360,26599,15075,87
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,0,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,180897,315156,290618,372317,243539,104345,22107,1528979,478020,2006999,1261421,611353,423301,2248
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,0,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,71698,127031,112774,128828,77442,48221,9501,575495,174995,750490,433331,222324,157833,1680
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,0,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,183441,333736,304652,339758,216646,162965,34576,1575774,387809,1963583,1159156,616431,416449,1554
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,0,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,143871,256127,238975,301435,176013,93618,17427,1227466,294723,1522189,831741,422782,330671,1431
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,0,42608,22626,9011,130084,401368,6829,1479,192885,5885,695,266,53709,111242,94286,101970,61643,26893,5703,455446,133275,588721,318597,163305,128310,2098
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,0,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,51897,102257,83931,95073,59555,34990,4607,432310,142314,574624,321018,166781,111028,1336
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,0,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,277247,488129,443759,527568,318876,272280,44240,2372099,631980,3004079,1901528,980046,614258,2907
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,0,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,98764,158812,116716,128693,85642,37417,11956,638000,306336,944336,535408,258826,194768,6744
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,0,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,196971,306838,226433,221806,147698,82448,25734,1207928,714869,1922797,1171770,525459,331259,586
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,0,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,90240,137470,101852,104682,62612,36905,10666,544427,340886,885313,495167,242628,162297,1804
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,0,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,53734,89433,71178,75419,48360,29838,5790,373752,204895,578647,336540,164962,113721,2285
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,0,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,117795,182796,145626,163928,96329,70240,16666,793380,438529,1231909,754927,377707,255283,608
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,0,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,75708,106162,84553,85953,48663,27461,5658,434158,311513,745671,420050,200882,146103,2716
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,0,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,173890,283837,239609,256826,157435,141947,27272,1280816,518772,1799588,1042519,517079,335100,988
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,0,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,197944,313874,283819,328229,203656,142399,15879,1485800,540010,2025810,1384987,667193,436496,1980
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,0,115853,81216,21328,162305,60504,3855,6095,1044903,101,650,47,106878,165659,118366,147856,83290,21322,5077,648448,381879,1030327,641875,283645,190898,3209
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,0,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,53005,107715,98135,116836,68794,38823,9388,492696,124100,616796,365300,185424,131707,2196
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,0,40867,21791,13501,279836,476276,29488,5342,478908,257,1257,239,82178,131983,119930,147214,96568,105306,13103,696282,172226,868508,540872,281462,171656,638
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,0,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,163251,250833,197901,220210,130155,73636,18393,1054379,570103,1624482,904316,435148,311621,4084
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,0,60340,40460,5132,103399,112859,13100,622,467751,108,246,481,49367,90971,66695,81545,43467,23657,4665,360367,212388,572755,322607,158413,114077,430
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,0,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,602411,303748,148945,346
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,1861,117264,4387,3122,32503,324859,3554,353,167,563,74,105,43442,46625,47640,30901,24989,18882,981,213460,83896,297356,202426,75997,51245,418
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,6239,121157,3845,5384,50554,385818,4395,428,323,190,11,23,47447,68435,67519,47703,32557,27168,2367,293196,61950,355146,229715,93182,67873,835
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,169,83155,3200,2112,24565,240170,1486,171,38,9,4,44,30562,50288,44605,28916,21131,15096,440,191038,45428,236466,141848,54979,44986,472
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,416,187121,8129,4021,81171,609835,7374,656,290,32,91,109,72163,103462,95417,74008,58434,30704,2073,436261,133013,569274,368324,139371,109998,1238
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,53399,77176,38195,22992,444405,1424916,202057,13416,36454,11778,5117,217,142130,236027,240639,206730,187700,247622,26644,1287492,296538,1584030,968517,446046,276280,5851
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,1041,150607,13715,5635,104195,660507,22931,2161,619,58,212,51,91101,107794,111671,95590,74219,52076,5638,538089,123071,661160,380765,160183,145445,878
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,9977,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,63591,87585,90983,56591,42086,28375,2237,371448,88036,459484,273494,116749,92517,679
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,1011,85125,8985,2991,26537,257509,1440,397,46,102,7,16,38113,47788,50340,31224,20785,10900,675,199825,49539,249364,147488,60569,51672,169
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,648,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,90864,120029,115810,76148,53026,37742,2263,495882,109556,605438,351595,141238,128994,679
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,562,59993,4032,1570,33971,249563,8693,870,336,24,28,6,36127,48093,45766,23610,18360,15110,1317,188383,62429,250812,156916,60722,41913,97
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,3694,137530,34742,9767,194142,809717,120742,5091,17419,570,356,181,90915,155681,157875,115317,98851,89101,6200,713940,166573,880513,562548,243095,147053,1909
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,61279,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1559017,1042614,392370,212223,1695
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,2938,93660,103115,19955,361391,1214935,648119,4878,17364,709,2501,46,245515,336790,243719,165003,114114,134182,29377,1268700,580970,1849670,1207120,435385,246229,1688
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,0,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,45607,73584,60177,69163,48306,83256,8466,388559,119222,507781,309078,157076,93606,1533
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,0,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,89558,170110,161844,163544,97980,91472,18727,793235,222031,1015266,617859,308126,201685,680
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,0,61516,73251,12287,242179,984929,138569,3646,84455,161,1555,126,107222,194654,164652,159311,99170,82532,18666,826207,319428,1145635,694813,317708,201386,298
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,0,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,94530,145392,118107,120790,81964,71007,10999,642789,266638,909427,552034,250830,160216,1575
